time,x,y,z
13:10.3,0.03472,0.8634,-1.37713
13:10.5,0.07544,0.93525,-1.34001
13:10.7,-0.00239,0.91489,-1.40707
13:10.9,-0.02395,0.90411,-1.39509
13:11.1,0.04311,0.9113,-1.38671
13:11.3,0.11855,0.88016,-1.34719
13:11.5,0.09939,0.92687,-1.2945
13:11.8,0.09101,0.85981,-1.41186
13:12.0,0.04191,0.83346,-1.33163
13:12.2,0.12454,0.91849,-1.41186
13:12.4,0.1425,0.89214,-1.44898
13:12.6,-0.01077,0.83226,-1.27774
13:12.8,0.09939,0.88974,-1.30408
13:13.0,-0.01077,0.84065,-1.30887
13:13.2,0.12094,0.84184,-1.36037
13:13.4,0.01916,0.88256,-1.37713
13:13.6,0.01676,0.92567,-1.31247
13:13.8,0.01916,0.88376,-1.34719
13:14.0,0.07065,0.94842,-1.41066
13:14.2,0.00239,0.861,-1.35917
14:10.4,0.10178,0.84544,-1.33163
14:10.6,0.12334,0.90172,-1.30408
14:10.8,0.02874,0.90411,-1.2957
14:11.0,0.11496,0.82029,-1.34121
14:11.2,-0.03832,0.84424,-1.3939
14:11.4,-0.06586,0.90651,-1.35079
14:11.6,0.13052,0.88974,-1.30408
14:11.8,-0.01796,0.89813,-1.32205
14:12.0,0.13172,0.85262,-1.5364
14:12.2,0.03951,0.88495,-1.40228
14:12.4,0.03712,0.94363,-1.35917
14:12.6,0.06706,0.89214,-1.37713
14:12.8,0.10897,0.87777,-1.32684
14:13.0,0.0958,0.82508,-1.40827
14:13.2,0.00359,0.79155,-1.32324
14:25.2,-0.01556,0.83346,-1.32205
14:25.4,-0.00958,0.90651,-1.34001
14:25.6,0.06107,0.91968,-1.32564
14:25.8,0.06825,0.85861,-1.39988
14:47.7,0.17842,0.89214,-1.49449
14:47.9,-0.02874,0.9125,-1.29929
14:48.1,0.04909,0.92208,-1.37713
15:11.8,0.07903,0.82508,-1.27295
15:12.0,-0.0455,0.94483,-1.346
15:12.2,0.05149,0.84903,-1.34839
15:12.4,0.0443,0.83226,-1.35318
15:24.6,0.07185,0.8622,-1.39509
15:24.8,-0.02754,0.82747,-1.43701
15:25.0,0.01916,0.94483,-1.35917
15:25.2,-0.03712,0.89334,-1.3448
15:25.4,-0.02035,0.83586,-1.37114
16:12.4,0.02993,0.92088,-1.36396
16:12.6,0.10178,0.94723,-1.33642
16:12.8,0.05628,0.89214,-1.38072
16:13.0,0.07304,0.958,-1.28133
16:13.2,0.11735,0.87058,-1.346
16:31.3,0.06227,0.88376,-1.34121
16:31.5,0.01077,0.94603,-1.30169
16:31.7,0.03233,0.81909,-1.41066
16:31.9,-0.00598,0.95441,-1.32684
16:32.1,0.03592,0.89693,-1.31127
16:32.3,0.11975,0.88735,-1.46335
16:32.5,0.03712,0.92328,-1.38671
16:32.7,0.08622,0.89932,-1.36635
17:11.9,0.00239,0.8622,-1.2945
17:12.1,0.07424,0.87058,-1.36755
17:12.3,0.01556,0.88136,-1.46934
17:12.5,0.10298,0.88376,-1.32803
17:12.7,-0.0443,0.93645,-1.3424
17:12.9,0.06945,0.87777,-1.3448
17:31.7,0.02395,0.86699,-1.4418
17:31.9,0.10059,0.8167,-1.38072
17:32.1,0.02634,0.85382,-1.31606
17:32.3,0.06227,0.82628,-1.35677
17:32.5,0.08741,0.94842,-1.40827
17:32.7,-0.02395,0.90172,-1.28852
17:32.9,0,0.85861,-1.32444
18:11.5,0.09699,0.92567,-1.34719
18:11.7,0.1437,0.95441,-1.37953
18:11.9,-0.00598,0.94723,-1.29211
18:32.2,0.03832,0.88256,-1.42623
18:32.4,0.06586,0.90411,-1.36635
18:32.6,0.14968,0.88016,-1.27415
18:32.8,-0.05987,0.85023,-1.34839
18:33.0,0.01197,0.98435,-1.35677
18:33.2,0.03712,0.8634,-1.37833
19:10.9,0.06586,0.88136,-1.37953
19:11.1,0.04191,0.95321,-1.3939
19:11.3,0.00359,0.95202,-1.36037
19:11.5,0.17483,0.85861,-1.36156
19:32.8,0.02634,0.91968,-1.28852
19:33.0,0,0.88495,-1.31127
19:33.2,0.05149,0.94124,-1.42144
19:33.4,0.08861,0.84304,-1.38192
19:33.6,0.08023,0.78556,-1.29929
20:10.5,0.11376,0.89813,-1.37953
20:10.7,0.04909,0.88136,-1.26936
20:10.9,0.05867,0.80712,-1.31007
20:33.2,-0.03113,0.87298,-1.38671
20:33.4,-0.01556,0.89573,-1.39629
20:33.6,0.05029,0.89813,-1.32324
20:33.8,0.07664,0.91609,-1.38072
20:34.0,0.18441,0.83226,-1.37234
20:34.2,0.11017,0.85861,-1.31486
20:34.4,-0.04191,0.88376,-1.38192
20:51.9,0.54726,1.26816,-1.44659
20:52.1,0.11376,0.65503,-1.8226
20:52.3,0.9604,-0.51732,-1.63819
20:52.5,-0.39757,0.59875,-1.36156
20:52.7,-0.03353,1.11847,-1.60825
20:52.9,0.18681,0.39996,-1.32324
20:53.1,-0.07185,0.98435,-2.7866
20:53.3,0.48618,1.30528,-1.12925
20:53.5,-0.3341,0.32213,-1.94715
20:53.7,0.56761,1.49688,-1.39749
20:53.9,0.45505,1.09691,-1.70645
20:54.1,0.56642,1.24301,-1.49329
20:54.3,0.69455,1.11488,-1.49449
20:54.5,0.35446,1.05979,-1.47293
20:54.7,0.45744,1.10051,-0.67539
20:54.9,-0.0946,-1.59149,-0.35805
20:55.1,0.97357,1.346,-2.26688
20:55.3,-0.37961,1.54718,-0.69695
20:55.5,-0.16046,-0.0479,-1.04183
20:55.7,1.97948,0.69216,-0.84065
20:55.9,0.9089,0.30895,0.83346
20:56.1,0.41673,-0.11136,-1.51604
20:56.3,0.11735,1.16876,-2.58302
20:56.5,0.91849,1.24421,-1.23343
20:56.7,0.8646,0.36045,-1.14601
20:56.9,0.05149,1.52562,-1.35438
20:57.1,-1.27415,-0.12094,-2.06929
20:57.3,0.31135,0.68737,-0.79394
20:57.5,1.1987,-0.09939,0.02155
20:57.7,0.81909,2.72672,0.16525
20:57.9,0.7664,0.27662,-2.11719
20:58.1,2.4034,1.62741,0.39517
20:58.3,1.93158,1.86811,-1.2478
20:58.5,-0.5269,1.0562,-1.49089
20:58.7,0.64785,2.12797,-1.49568
20:58.9,0.53169,1.94475,-2.15671
20:59.1,0.16046,1.37713,-1.51005
20:59.4,-0.65384,0.25506,-1.72201
20:59.6,0.40715,0.77478,-2.7387
20:59.8,-1.95673,-2.019,-3.27518
21:00.0,1.26217,0.95082,-1.03943
21:00.2,-0.01197,-0.22153,-1.89206
21:00.4,0.42032,3.65839,2.81414
21:00.6,0.21914,1.45257,-1.79027
21:00.8,0.08622,-0.17004,-3.25483
21:01.0,1.19391,0.8143,-2.56746
21:01.2,-0.58438,-1.35438,-2.59859
21:01.4,0.08741,0.66342,-1.50526
21:01.6,0.54247,0.82508,-1.51963
21:01.8,0.07424,0.47301,-1.51484
21:02.0,0.6227,0.94962,-1.45018
21:02.2,0.83705,0.94244,-1.21427
21:02.4,0.60713,0.92088,-1.41545
21:02.6,0.70533,0.91609,-1.5376
21:02.8,0.66701,0.97357,-1.44778
21:03.0,0.51133,0.98195,-1.49449
21:03.2,0.75323,0.96878,-1.57712
21:03.4,0.7197,1.01429,-1.33881
21:03.6,0.80472,1.02147,-1.17834
21:03.8,0.72808,0.94603,-1.38432
21:04.0,0.72928,0.97597,-1.34001
21:04.2,0.62031,0.93884,-1.37354
21:04.4,0.61671,0.91968,-1.37713
21:04.6,0.72449,0.96519,-1.32324
21:04.8,0.7197,0.89813,-1.4897
21:05.0,0.71371,0.91729,-1.4394
21:05.2,0.62869,0.99153,-1.45138
21:05.4,0.66461,0.93166,-1.47293
21:05.6,0.63587,0.93166,-1.4394
21:05.8,0.61073,1.02147,-1.39869
21:06.0,0.80951,0.87657,-1.41306
21:06.2,0.72449,0.87178,-1.45018
21:06.4,0.69934,0.93046,-1.3903
21:06.6,0.65384,0.92208,-1.45257
21:06.8,0.88615,0.94004,-1.36396
21:07.0,0.71132,0.9125,-1.44898
21:07.2,0.6718,1.00351,-1.4418
21:07.4,0.83466,0.95441,-1.40467
21:07.6,0.61791,0.97477,-1.45617
21:07.8,0.62989,0.98794,-1.55077
21:08.0,0.67779,1.0071,-1.33522
21:08.2,0.6706,1.03105,-1.45617
21:08.4,0.66102,1.01788,-1.43222
21:08.6,0.73646,0.99513,-1.42623
21:08.8,0.66342,0.98195,-1.42623
21:09.0,0.71611,0.96519,-1.56514
21:09.2,0.64426,0.99034,-1.49209
21:09.4,0.61552,1.05261,-1.44419
21:09.6,0.66701,1.00111,-1.32684
21:09.8,0.69096,0.94603,-1.50407
21:10.0,0.7209,0.94363,-1.4394
21:10.2,0.77718,0.93046,-1.37593
21:10.4,0.64665,0.91849,-1.41425
21:10.6,0.60713,0.89573,-1.51005
21:10.8,0.72449,0.97716,-1.4861
21:11.0,0.65863,0.95441,-1.44299
21:11.2,0.65024,0.99752,-1.4418
21:11.4,0.67898,0.97716,-1.47293
21:11.6,0.59156,0.99513,-1.43581
21:11.8,0.62989,0.97956,-1.42623
21:12.0,0.60114,0.9592,-1.46215
21:12.2,0.7173,1.04063,-1.24541
21:12.4,0.72569,0.9616,-1.42982
21:12.6,0.55564,1.0083,-1.46215
21:12.8,0.71251,0.9616,-1.37593
21:13.0,0.68258,0.94363,-1.46335
21:13.2,0.71251,0.93166,-1.44419
21:13.4,0.62031,0.93645,-1.47293
21:13.6,0.80951,0.958,-1.42503
21:13.8,0.72449,0.91609,-1.52323
21:14.0,0.72329,0.9113,-1.346
21:14.2,0.63587,0.98435,-1.42743
21:14.4,0.64426,0.94723,-1.39869
21:14.6,0.78796,0.95202,-1.38911
21:14.8,0.6251,1.00111,-1.32803
21:15.0,0.67898,0.94723,-1.47652
21:15.2,0.64665,1.04782,-1.51365
21:15.4,0.68856,1.03464,-1.50047
21:15.6,0.64426,0.98435,-1.46096
21:15.8,0.66461,0.93645,-1.41785
21:16.0,0.76041,0.88615,-1.45736
21:16.2,0.76281,0.96878,-1.4406
21:16.4,0.69216,0.99513,-1.42862
21:16.6,0.69455,0.96519,-1.51005
21:16.8,0.70772,0.94363,-1.41306
21:17.0,0.576,0.97836,-1.40827
21:17.2,0.58318,0.99034,-1.42503
21:17.4,0.61911,0.95561,-1.43581
21:17.6,0.64665,1.03345,-1.33402
21:17.8,0.73407,0.93765,-1.44778
21:18.0,0.68258,0.95202,-1.4418
21:18.2,0.69216,0.98794,-1.45856
21:18.4,0.66102,0.94962,-1.45018
21:18.6,0.79754,1.04063,-1.33522
21:18.8,0.74245,0.97597,-1.43461
21:19.0,0.70533,1.0059,-1.37593
21:19.2,0.70174,0.94124,-1.4394
21:19.4,0.66821,0.90172,-1.43581
21:19.6,0.68617,1.02267,-1.42144
21:19.8,0.67539,0.92807,-1.40467
21:20.0,0.68737,1.01668,-1.42862
21:20.2,0.73766,0.97118,-1.47173
21:20.4,0.70174,1.04063,-1.39629
21:20.6,0.72569,1.0071,-1.48012
21:20.8,0.63468,0.94004,-1.45018
21:21.0,0.67659,0.92926,-1.38791
21:21.2,0.68617,0.92208,-1.42024
21:21.4,0.79634,0.99034,-1.38551
21:21.6,0.69575,0.92687,-1.36276
21:21.8,0.59635,0.90411,-1.39869
21:22.0,0.76999,0.97477,-1.3939
21:22.2,0.64785,0.98555,-1.36755
21:22.4,0.68976,1.0059,-1.25978
21:22.7,0.61911,0.91849,-1.41785
21:22.9,0.76161,1.03105,-1.31366
21:23.1,0.65144,1.02626,-1.39988
21:23.3,0.64066,0.99992,-1.41186
21:23.5,0.69455,0.99632,-1.38551
21:23.7,0.72209,0.97836,-1.42383
21:23.9,0.59396,0.97836,-1.53999
21:24.1,0.673,0.95202,-1.47533
21:24.3,0.65264,0.95681,-1.38671
21:24.5,0.57839,0.97357,-1.41665
21:24.7,0.7688,0.91369,-1.33522
21:24.9,0.69934,0.98794,-1.36396
21:25.1,0.68018,0.94004,-1.40946
21:25.3,0.68976,1.03345,-1.47293
21:25.5,0.66222,0.94483,-1.50526
21:25.7,0.75922,0.89453,-1.38911
21:25.9,0.66701,0.94603,-1.35438
21:26.1,0.68138,0.99273,-1.37354
21:26.3,0.78676,0.95681,-1.35558
21:26.5,0.76401,0.99034,-1.40467
21:26.7,0.64066,0.90531,-1.48251
21:26.9,0.64905,1.03105,-1.56155
21:27.1,0.68138,1.01668,-1.50167
21:27.3,0.67539,1.03464,-1.52203
21:27.5,0.70293,0.98435,-1.39749
21:27.7,0.70772,0.92328,-1.33642
21:27.9,0.6706,0.95681,-1.39749
21:28.1,0.74485,0.98555,-1.42264
21:28.3,0.60474,0.95082,-1.3915
21:28.5,0.62749,0.90771,-1.45617
21:28.7,0.70174,0.96998,-1.43102
21:28.9,0.81191,0.88256,-1.50167
21:29.1,0.64186,0.98315,-1.33522
21:29.3,0.67659,0.93286,-1.36156
21:29.5,0.69216,0.95202,-1.45257
21:29.7,0.73886,0.91729,-1.41545
21:29.9,0.61073,1.0095,-1.40946
21:30.1,0.73766,0.9592,-1.49568
21:30.3,0.68497,0.89453,-1.45617
21:30.5,0.63827,0.96998,-1.50167
21:30.7,0.67539,0.93645,-1.45497
21:30.9,0.64665,1.02147,-1.51724
21:31.1,0.74365,1.06937,-1.50766
21:31.3,0.66821,0.9592,-1.41306
21:31.5,0.77239,0.9616,-1.57472
21:31.7,0.73048,0.9616,-1.39988
21:31.9,0.68497,0.98555,-1.43581
21:32.1,0.67779,0.93884,-1.44539
21:32.3,0.59396,0.85741,-1.51604
21:32.5,0.7185,0.98076,-1.47652
21:32.7,0.61911,0.99393,-1.42982
21:32.9,0.63707,0.92567,-1.42024
21:33.1,0.67659,0.958,-1.4885
21:33.3,0.63827,0.95321,-1.42743
21:33.5,0.6706,0.93525,-1.38312
21:33.7,0.66222,0.99273,-1.48251
21:33.9,0.63228,0.95561,-1.4382
21:34.1,0.70653,0.99513,-1.41545
21:34.3,0.6706,1.01668,-1.40946
21:34.5,0.66581,0.95561,-1.47652
21:34.7,0.62629,0.96399,-1.50047
21:34.9,0.69096,1.01908,-1.41665
21:35.1,0.66342,0.98435,-1.40946
21:35.3,0.67539,0.94723,-1.32564
21:35.5,0.58318,1.03345,-1.50167
21:35.7,0.71132,0.92447,-1.54718
21:35.9,0.70293,0.99992,-1.4897
21:36.1,0.76161,1.01668,-1.42024
21:36.3,0.68258,1.06698,-1.56993
21:36.5,0.67898,0.95202,-1.4897
21:36.7,0.63587,0.97118,-1.4406
21:36.9,0.70293,0.98076,-1.53401
21:37.1,0.70413,1.0059,-1.40707
21:37.3,0.73048,0.91849,-1.34839
21:37.5,0.71132,0.93166,-1.46934
21:37.7,0.58917,0.94483,-1.57712
21:37.9,0.59276,0.91489,-1.42024
21:38.1,0.55205,0.97716,-1.41186
21:38.3,0.6694,0.94842,-1.35558
21:38.5,0.69695,0.95202,-1.42264
21:38.7,0.61192,0.97597,-1.45617
21:38.9,0.61671,0.99513,-1.45976
21:39.1,0.61192,0.89693,-1.42383
21:39.3,0.54247,0.92567,-1.41665
21:39.5,0.68258,0.98674,-1.38192
21:39.7,0.65024,0.89453,-1.41186
21:39.9,0.68377,0.95202,-1.41066
21:40.1,0.66581,0.9089,-1.45377
21:40.3,0.72209,0.92687,-1.50047
21:40.5,0.70293,0.99872,-1.45138
21:40.7,0.73527,0.94244,-1.54838
21:40.9,0.61312,0.94483,-1.50407
21:41.1,0.72449,0.93645,-1.49688
21:41.3,0.67898,0.94483,-1.4382
21:41.5,0.65264,1.06458,-1.43581
21:41.7,0.78077,1.02866,-1.39629
21:41.9,0.72209,0.99393,-1.40587
21:42.1,0.68976,0.95082,-1.34719
21:42.3,0.7652,0.94603,-1.4382
21:42.5,0.68377,0.96878,-1.50287
21:42.7,0.58677,0.90651,-1.39988
21:42.9,0.70174,0.96399,-1.50287
21:43.1,0.61791,1.0059,-1.55915
21:43.3,0.69575,0.99513,-1.42503
21:43.5,0.77359,0.94723,-1.45138
21:47.8,0.79514,0.85621,-1.44419
21:48.0,0.62629,0.92807,-1.36396
21:48.2,0.62989,0.9125,-1.4382
21:48.4,0.55324,0.92687,-1.41186
21:48.6,0.65623,0.97237,-1.37713
21:48.8,0.64306,0.95321,-1.55077
21:49.0,0.77359,1.01908,-1.4885
21:49.2,0.67419,0.90531,-1.45497
21:49.4,0.75802,0.93046,-1.48012
21:49.6,0.85142,0.94603,-1.51005
21:49.8,0.73048,0.9592,-1.59508
21:50.0,0.67539,1.02147,-1.42982
21:50.2,0.62869,1.02027,-1.36516
21:50.4,0.71611,0.95321,-1.33881
21:50.6,0.69335,0.9125,-1.52442
21:50.8,0.68976,0.9604,-1.40827
21:51.0,0.73646,0.94603,-1.43581
21:51.2,0.68497,0.99034,-1.55556
21:51.4,0.61671,0.96399,-1.38791
21:51.6,0.6718,0.93765,-1.52442
21:51.8,0.73167,0.87777,-1.40827
21:52.0,0.59516,0.9604,-1.42503
21:52.2,0.64306,0.93046,-1.47533
21:52.4,0.70772,0.94124,-1.54718
21:52.6,0.6239,0.92567,-1.50167
21:52.8,0.74485,1.0083,-1.46575
21:53.0,0.75682,0.92687,-1.51963
21:53.2,0.69216,0.95202,-1.47772
21:53.4,0.71371,0.94244,-1.42982
21:53.6,0.73886,0.96878,-1.47173
21:53.8,0.69096,0.94483,-1.38791
21:54.0,0.68018,1.00111,-1.33522
21:54.2,0.67419,0.97836,-1.38192
21:54.4,0.70533,0.98555,-1.36516
21:54.6,0.70653,0.99632,-1.47772
21:54.8,0.73167,0.92567,-1.43102
21:55.0,0.5736,0.96758,-1.43581
21:55.2,0.68617,0.92328,-1.40827
21:55.4,0.83466,0.96279,-1.39869
21:55.6,0.62749,1.03105,-1.44419
21:55.8,0.69216,0.89693,-1.4406
21:56.0,0.69335,0.87897,-1.50167
21:56.2,0.72808,1.00231,-1.45856
21:56.4,0.61432,0.94962,-1.44778
21:56.6,0.71371,0.9592,-1.32923
21:56.8,0.68976,0.94842,-1.57951
21:57.0,0.6694,0.95202,-1.51005
21:57.2,0.58797,0.99632,-1.30408
21:57.4,0.70174,0.97597,-1.39629
21:57.6,0.75682,0.96519,-1.46575
21:57.8,0.68976,1.03704,-1.45377
21:58.0,0.72449,0.95321,-1.48131
21:58.2,0.74006,0.89573,-1.52562
21:58.4,0.65743,0.94962,-1.55796
21:58.6,0.6239,0.98435,-1.41904
21:58.8,0.6706,0.95681,-1.40587
21:59.0,0.60953,1.03105,-1.35079
21:59.2,0.64665,0.9604,-1.45736
21:59.4,0.63108,0.9592,-1.39749
21:59.6,0.64545,0.96878,-1.38312
21:59.8,0.63827,0.91609,-1.43461
22:00.0,0.61552,0.85502,-0.88376
22:00.2,0.74844,0.99872,-1.4885
22:00.4,0.71611,0.958,-1.42982
22:00.6,0.75562,1.00351,-1.58191
22:00.8,0.65623,0.91369,-1.40587
22:01.0,0.68258,0.95321,-1.49329
22:01.2,0.80592,0.9592,-1.41186
22:01.4,0.64905,1.00231,-1.56035
22:01.6,0.64785,0.99273,-1.46096
22:01.8,0.72449,0.97716,-1.52323
22:02.0,0.60833,0.92567,-1.50047
22:02.2,0.71012,0.94363,-1.45138
22:02.4,0.69096,1.01429,-1.32684
22:02.6,0.74365,0.97237,-1.33043
22:02.8,0.64785,0.92328,-1.44778
22:03.0,0.63827,0.98914,-1.39749
22:03.2,0.8167,1.00471,-1.49688
22:03.4,0.65623,0.88376,-1.59867
22:03.6,0.83586,1.12805,-1.37833
22:03.8,0.71371,1.01309,-1.3927
22:04.0,0.60713,0.94603,-1.50407
22:04.2,0.64066,0.96399,-1.44419
22:04.4,0.673,1.01309,-1.37354
22:04.6,0.60713,0.97716,-1.40228
22:04.8,0.66461,0.96639,-1.42982
22:05.0,0.68138,0.98076,-1.43222
22:05.3,0.63707,1.02866,-1.44898
22:05.5,0.64186,0.92447,-1.3939
22:05.7,0.65503,0.88376,-1.249
22:05.9,0.69096,0.94603,-1.42503
22:06.1,0.58917,0.93405,-1.41785
22:06.3,0.65024,0.94483,-1.4418
22:06.5,0.62031,0.92088,-1.44299
22:06.7,0.70293,0.94603,-1.37234
22:06.9,0.74245,0.97716,-1.51963
22:07.1,0.72209,0.91609,-1.51724
22:07.3,0.75682,0.99393,-1.52562
22:07.5,0.63707,0.93046,-1.52083
22:07.7,0.75203,0.89453,-1.4382
22:07.9,0.76161,1.03704,-1.44539
22:08.1,0.64186,0.94483,-1.41306
22:08.3,0.65503,1.0083,-1.49449
22:08.5,0.56761,0.98315,-1.39869
22:08.7,0.6251,0.92926,-1.49808
22:08.9,0.8143,1.00351,-1.43222
22:09.1,0.72449,0.91489,-1.53041
22:09.3,0.6227,1.01309,-1.47293
22:09.5,0.51852,1.04063,-1.54478
22:09.7,0.56163,0.92807,-1.47652
22:09.9,0.69814,0.92687,-1.43581
22:10.1,0.5724,0.96998,-1.45617
22:10.3,0.76041,1.01548,-1.40946
22:10.5,0.6227,1.0574,-1.54838
22:10.7,0.55324,0.98914,-1.41665
22:10.9,0.6227,0.97477,-1.50526
22:11.1,0.60833,1.01548,-1.38671
22:11.3,0.72808,0.93525,-1.4873
22:11.5,0.68497,0.98435,-1.29331
22:11.7,0.78676,0.95082,-1.4394
22:11.9,0.76161,0.96878,-1.41425
22:12.1,0.75323,1.01668,-1.49928
22:12.3,0.70533,1.0095,-1.38072
22:12.5,0.64306,0.97118,-1.48012
22:12.7,0.73167,1.07296,-1.47413
22:12.9,0.72449,0.94723,-1.47772
22:13.1,0.63348,0.99632,-1.46335
22:13.3,0.69096,0.99992,-1.43222
22:13.5,0.61312,0.97716,-1.34959
22:13.7,0.82388,0.958,-1.36396
22:13.9,0.75802,0.91729,-1.46814
22:14.1,0.67898,0.99513,-1.45976
22:14.3,0.6718,0.94603,-1.44539
22:14.5,0.54965,0.99992,-1.42024
22:14.7,0.66581,0.93884,-1.3927
22:14.9,0.66102,0.94603,-1.49329
22:15.1,0.62629,0.92088,-1.4897
22:15.3,0.70892,0.92687,-1.49688
22:15.5,0.62749,0.92926,-1.4394
22:15.7,0.71251,0.97237,-1.59029
22:15.9,0.67419,0.93645,-1.48251
22:16.1,0.64306,0.95202,-1.46575
22:16.3,0.74006,0.98315,-1.48131
22:16.5,0.73167,1.01309,-1.44539
22:16.7,0.60114,1.04303,-1.38072
22:16.9,0.68617,0.98076,-1.51005
22:17.1,0.65863,0.91968,-1.36995
22:17.3,0.63108,0.94363,-1.49688
22:17.5,0.70413,0.87897,-1.56155
22:17.7,0.7173,0.96758,-1.50646
22:17.9,0.70054,0.92807,-1.37953
22:18.1,0.6706,0.99872,-1.4873
22:18.3,0.75203,0.94124,-1.38312
22:18.5,0.65503,0.96519,-1.40348
22:18.7,0.6706,0.89094,-1.42862
22:18.9,0.59995,0.94004,-1.35797
22:19.1,0.60593,1.00111,-1.42264
22:19.3,0.63707,0.9616,-1.42024
22:19.5,0.67539,0.94842,-1.5388
22:19.7,0.57839,0.83346,-1.37354
22:19.9,0.80592,0.93046,-1.51365
22:20.1,0.576,0.97237,-1.47652
22:20.3,0.67419,0.99153,-1.40827
